cn,latin,aliases,confidence,source
拱唇属,Labronema,,seed-verified,user table 2026-09 (verified against Nemaplex)
真矛线属,Eudorylaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
类管咽属,Aulolaimoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
颚针属,Belondira,,seed-verified,user table 2026-09 (verified against Nemaplex)
狭咽属,Discolaimium,,seed-verified,user table 2026-09 (verified against Nemaplex)
散香属,Boleodorus,Beleodorus,seed-verified,user table 2026-09 (verified against Nemaplex)
色矛属,Chromadorita,ChrPradorita,seed-verified,user table 2026-09 (verified against Nemaplex)
三孔属,Tripyla,,seed-verified,user table 2026-09 (verified against Nemaplex)
绕线属,Plectus,,seed-verified,user table 2026-09 (verified against Nemaplex)
无齿属,Anonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
角绕线属,Ceratoplectus,,seed-verified,user table 2026-09 (verified against Nemaplex)
唇绕线属,Chiloplectus,,seed-verified,user table 2026-09 (verified against Nemaplex)
威尔斯属,Wilsonema,,seed-verified,user table 2026-09 (verified against Nemaplex)
角咽属,Actinolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
双胃属,Diplogaster,,seed-verified,user table 2026-09 (verified against Nemaplex)
后双胃属,Metadiplogaster,,seed-verified,user table 2026-09 (verified against Nemaplex)
管咽属,Aulolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
类双胃属,Diplogasteroides,Diplogsteroides,seed-verified,user table 2026-09 (verified against Nemaplex)
肾状属,Rotylenchulus,Rotylenchus,seed-verified,user table 2026-09 (verified against Nemaplex)
棱咽属,Prismatolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
小双胃属,Diplogastrellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
嘴刺属,Enoploides,,seed-verified,user table 2026-09 (verified against Nemaplex)
针属,Paratylenchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
短体长针属,Longidorella,,seed-verified,user table 2026-09 (verified against Nemaplex)
小剑属,Xiphinemella,,seed-verified,user table 2026-09 (verified against Nemaplex)
短针属,Brachydorus,Brachyderus,seed-verified,user table 2026-09 (verified against Nemaplex)
柄端球属,Paurodontus,,seed-verified,user table 2026-09 (verified against Nemaplex)
异球属,Stictylus,,seed-verified,user table 2026-09 (verified against Nemaplex)
齿咽属,Odontopharynx,Odotopharynx,seed-verified,user table 2026-09 (verified against Nemaplex)
盆咽属,Panagrolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
短腔属,Brevibucca,,seed-verified,user table 2026-09 (verified against Nemaplex)
刺咽属,Belonolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
盘腔属,Discomyctus,,seed-verified,user table 2026-09 (verified against Nemaplex)
盘咽属,Discolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
锐咽属,Carcharolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
缢咽属,Axonchium,,seed-verified,user table 2026-09 (verified against Nemaplex)
类缢咽属,Paraxonchium,,seed-verified,user table 2026-09 (verified against Nemaplex)
类隐咽属,Paraphanolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
隐咽属,Aphanolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
扁腔属,Sectonema,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟杯咽属,Paracyatholaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
微咽属,Microlaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
小穿咽属,Nygolaimellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
无孔小咽属,Aporcelaimellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
峡瓣属,Swangeria,,seed-verified,user table 2026-09 (verified against Nemaplex)
高杯侧属,Amphidelus,,seed-verified,user table 2026-09 (verified against Nemaplex)
异双胃属,Diplogasteriana,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟绕线属,Anaplectus,,seed-verified,user table 2026-09 (verified against Nemaplex)
瓣唇属,Panagrobelus,,seed-verified,user table 2026-09 (verified against Nemaplex)
钩唇属,Diploscapter,,seed-verified,user table 2026-09 (verified against Nemaplex)
突腔唇属,Ecphyadophora,,seed-verified,user table 2026-09 (verified against Nemaplex)
类突腔唇属,Tenunemellus,,seed-verified,user table 2026-09 (verified against Nemaplex)
供唇属,Labronema,,seed-verified,user table 2026-09 (verified against Nemaplex)
下齿属,Hypodontolaimus,,seed-verified,user table 2026-09 (verified against Nemaplex)
锉齿属,Mylonchulus,,seed-verified,user table 2026-09 (verified against Nemaplex)
螯属,Pungentus,,seed-verified,user table 2026-09 (verified against Nemaplex)
基齿属,Iotonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
倒齿属,Anatonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
独壁齿属,Campydora,,seed-verified,user table 2026-09 (verified against Nemaplex)
细齿属,Leptonchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
原色矛属,Prochromadora,,seed-verified,user table 2026-09 (verified against Nemaplex)
单色矛属,Monochromadora,,seed-unresolved,user table 2026-09 (verified against Nemaplex)
异色矛属,Achromadora,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟矛线属,Dorylaimoides,,seed-verified,user table 2026-09 (verified against Nemaplex)
等齿属,Miconchus,,seed-verified,user table 2026-09 (verified against Nemaplex)
长杆属,Dolichorhabditis,,seed-verified,user table 2026-09 (verified against Nemaplex)
明杆属,Rhabditophanes,,seed-verified,user table 2026-09 (verified against Nemaplex)
拟毛刺属,Paratrichodorus,,seed-verified,user table 2026-09 (verified against Nemaplex)
板环属,Placodira,,seed-verified,user table 2026-09 (verified against Nemaplex)
